oqmd_id,formula,Ef,num_atoms
1442470,AcF3,-4.48983200122333,4.0
12095,ThF4,-4.46037323297155,5.0
2268,KTh6F25,-4.38463566572743,32.0
1021426,ThOF2,-4.36248564259586,4.0
24071,CsTh3F13,-4.32100043168849,17.0
2600,RbTh3F13,-4.32070089404143,17.0
643325,RbTh2F9,-4.261620864765,12.0
656109,ThO2,-4.236913576,3.0
23193,NaTh2F9,-4.22788991150263,12.0
24072,Cs2Th6F25,-4.16500118297811,33.0
14717,ThZr2F12,-4.13129856430488,15.0
1036519,AcOF,-4.11400932583662,3.0
1016678,PuOF,-4.05353524331772,3.0
5658,PuF3,-3.90291576309833,4.0
1025783,ThOF,-3.88239940041745,3.0
6052,K2ThF6,-3.86181463275407,9.0
2586,KNaThF6,-3.8545142328487,9.0
2585,U2F9,-3.85289234019818,11.0
1083439,PuVAsO,-3.82838148783365,4.0
4489,Lu6UO12,-3.82819833963522,19.0
6049,Na2ThF6,-3.82703715405444,9.0
20358,UO2,-3.8192987939272,3.0
693544,EuThO3,-3.80344249577575,5.0
1025785,UOF,-3.79793102584465,3.0
301809,ThF3,-3.79766152184833,4.0
1282840,Li2ThF6,-3.79320262553185,9.0
682328,AcLuO3,-3.79295285052725,5.0
6081,NpF4,-3.77253770338822,5.0
682134,AcTmO3,-3.77180346252725,5.0
6678,RbPaF6,-3.76965695934833,8.0
6072,UF5,-3.76409802844259,6.0
682251,AcScO3,-3.76206185402725,5.0
693177,LuNpO3,-3.74875654417575,5.0
681800,AcErO3,-3.74775133402725,5.0
693398,PuScO3,-3.74429591701591,5.0
4488,Y6UO12,-3.73406795542469,19.0
682276,AcHoO3,-3.73065588619392,5.0
693307,TmNpO3,-3.72387432067575,5.0
5659,NpF3,-3.71444459653583,4.0
681928,NpScO3,-3.71292933717575,5.0
693092,AcDyO3,-3.71243363236059,5.0
1441210,NpO2,-3.7120851808333355,3.0
22817,La6UO12,-3.7058962522668,19.0
36475,LiUF5,-3.6987426947365,7.0
693411,ErNpO3,-3.69855131767575,5.0
1021407,PuOF2,-3.6972801906044,4.0
693097,AcYO3,-3.69270293252725,5.0
1962,ThSiO4,-3.68438249579292,6.0
3454,YUO4,-3.67732671517318,6.0
693238,AcGdO3,-3.67014635302725,5.0
434059,Yb2ThO4,-3.65393250353679,7.0
692977,HoNpO3,-3.65194616884242,5.0
693122,SrThO3,-3.64884939027575,5.0
1282827,Li2PaF6,-3.63806112275407,9.0
1442486,UF3,-3.63659989809833,4.0
3330,Na3PaF8,-3.63515280713365,12.0
12710,Pu2O3,-3.63289687550458,5.0
120059,Th2Ta2O9,-3.62436243253029,13.0
14121,UF4,-3.62059179063822,5.0
681468,BaThO3,-3.62025099227575,5.0
693396,ScUO3,-3.60935197353207,5.0
693476,AcSmO3,-3.60763088952725,5.0
691894,Ac4Tm4O11,-3.60584374550875,19.0
693342,ThMgO3,-3.59873779610908,5.0
433799,Tm2PuO4,-3.59781806977976,7.0
299432,PaF3,-3.59737542684833,4.0
693576,ThScO3,-3.58643613627575,5.0
693488,EuNpO3,-3.58612818667575,5.0
691878,Ac4Er4O11,-3.58228132235086,19.0
590213,Ac2O3,-3.57976417652725,5.0
681457,PuHfO3,-3.57707613201591,5.0
5211,ThTi2O6,-3.57689613712084,9.0
693165,AcTbO3,-3.56102416146059,5.0
431509,AcLu2O4,-3.56075841085929,7.0
692085,Np4Sc4O11,-3.5574129067177,19.0
6054,Na2UF6,-3.55538542683222,9.0
2209,UF6,-3.55443229211238,7.0
4916,K2UF6,-3.55378231664296,9.0
15818,Th2AuF11,-3.55347512717444,14.0
431543,AcTm2O4,-3.54867776228786,7.0
432650,EuPu2O4,-3.54582930620023,7.0
2851,Rb2UF6,-3.54245639497629,9.0
350231,AcAlO3,-3.53212422502725,5.0
1108618,KPuF5,-3.52894156604603,7.0
431495,AcEr2O4,-3.52785942443072,7.0
433571,Tm2NpO4,-3.52785102239393,7.0
434089,Yb2UO4,-3.52586085514844,7.0
682967,PuAlO3,-3.52181998001591,5.0
433803,Y2PuO4,-3.5161432626369,7.0
431503,AcHo2O4,-3.5135387053831,7.0
433787,PuSc2O4,-3.50944603477976,7.0
826533,NpAlO3,-3.50242868417575,5.0
682290,EuPuO3,-3.50167889001591,5.0
431494,AcDy2O4,-3.49800397847834,7.0
6057,U(OF)2,-3.48981204450876,5.0
433559,NpSc2O4,-3.48890581953679,7.0
681862,SrUO3,-3.48678409453207,5.0
1972,Li3ThF7,-3.48555344308343,11.0
428148,Np2O3,-3.48081466282425,5.0
12297,ThTa2O7,-3.47714179523938,10.0
431547,AcY2O4,-3.47504354585929,7.0
2857,K5ThF9,-3.47490761114533,15.0
434054,Tm2ThO4,-3.47298392710821,7.0
693255,YbPuO3,-3.46943890801591,5.0
433576,Yb2NpO4,-3.46799114667964,7.0
